"STATE_UT","TOTAL_BEDS","POPULATION"
"ANDHRA PRADESH",83937,84580777
"ARUNACHAL PRADESH*",4724,1383727
"ASSAM",36257,31205576
"BIHAR",29815,104099452
"CHHATTISGARH",23766,25545198
"GOA*",5679,1458545
"GUJARAT",73409,60439692
"HARYANA*",25081,25351462
"HIMACHAL PRADESH*",21105,6833038
"JAMMU AND KASHMIR",22993,12541302
"JHARKHAND",18188,32988134
"KARNATAKA*",126498,59248274
"KERALA",77515,33406061
"MADHYA PRADESH",66979,72626809
"MAHARASHTRA",120444,112374333
"MANIPUR",3989,2855794
"MEGHALAYA*",9042,2966889
"MIZORAM*",4309,1097206
"NAGALAND",3824,1978502
"ORISSA*",35016,41974218
"PUNJAB*",31460,27743338
"RAJASTHAN",83692,68548437
"SIKKIM*",2705,610577
"TAMIL NADU*",150148,72147030
"TELANGANA*",38341,35193978
"TRIPURA*",9312,3673917
"UTTAR PRADESH*",134570,199812341
"UTTARAKHAND",15172,10086292
"WEST BENGAL",129729,91276115
"ANDAMAN AND NICOBAR ISLANDS",2321,274984
"CHANDIGARH",4534,1055450
"DADRA AND NAGAR HAVELI*",1157,343709
"DAMAN AND DIU",538,243247
"NCT OF DELHI",44955,16787941
"LAKSHADWEEP",550,64473
"PONDICHERRY",8031,297664
"National",1449785,1243114482
