"STATE_UT","TOTAL_BEDS","TOTAL_HOSPITALS","POPULATION"
"ANDHRA PRADESH",23138,258,84580777
"ARUNACHAL PRADESH*",2404,218,1383727
"ASSAM",17142,1226,31205576
"BIHAR",12019,1033,104099452
"CHHATTISGARH",9412,214,25545198
"GOA*",3013,42,1458545
"GUJARAT",32280,486,60439692
"HARYANA*",11240,668,25351462
"HIMACHAL PRADESH*",12399,801,6833038
"JAMMU AND KASHMIR",11651,132,12541302
"JHARKHAND",10784,555,32988134
"KARNATAKA*",70165,2845,59248274
"KERALA",38004,1280,33406061
"MADHYA PRADESH",28839,451,72626809
"MAHARASHTRA",51446,711,112374333
"MANIPUR",1427,30,2855794
"MEGHALAYA*",4457,157,2966889
"MIZORAM*",1997,90,1097206
"NAGALAND",1880,36,1978502
"ORISSA*",18519,1804,41974218
"PUNJAB*",17933,682,27743338
"RAJASTHAN",31848,752,68548437
"SIKKIM*",1560,33,610577
"TAMIL NADU*",77532,1217,72147030
"TELANGANA*",20983,863,35193978
"TRIPURA*",4417,155,3673917
"UTTAR PRADESH*",76260,4635,199812341
"UTTARAKHAND",8512,460,10086292
"WEST BENGAL",78566,1566,91276115
"ANDAMAN AND NICOBAR ISLANDS",1075,30,274984
"CHANDIGARH",778,4,1055450
"DADRA AND NAGAR HAVELI*",589,11,343709
"DAMAN AND DIU",240,5,243247
"NCT OF DELHI",24383,109,16787941
"LAKSHADWEEP",300,9,64473
"PONDICHERRY",3569,14,297664
"National",710761,23582,1243114482
